Final area = 339888.0
Black area = 66718.0
block_name lower_left(x,y)coordinate upper_right(x,y)coordinate
sb281 (7016.0, 0) (7034.0, 30.0)
sb282 (6584.0, 0) (6614.0, 44.0)
sb283 (6571.0, 0) (6584.0, 15.0)
sb284 (6716.0, 0) (6737.0, 30.0)
sb285 (6627.0, 0) (6640.0, 33.0)
sb286 (6837.0, 0) (6873.0, 41.0)
sb287 (6664.0, 0) (6685.0, 42.0)
sb288 (6947.0, 0) (6975.0, 36.0)
sb289 (6737.0, 0) (6770.0, 37.0)
sb290 (6885.0, 0) (6901.0, 27.0)
sb291 (6770.0, 0) (6798.0, 43.0)
sb292 (6640.0, 0) (6664.0, 39.0)
sb293 (6997.0, 0) (7016.0, 43.0)
sb294 (6685.0, 0) (6702.0, 26.0)
sb295 (6901.0, 0) (6914.0, 43.0)
sb296 (7034.0, 0) (7050.0, 27.0)
sb297 (7050.0, 0) (7081.0, 38.0)
sb298 (6914.0, 0) (6947.0, 40.0)
sb299 (6614.0, 0) (6627.0, 13.0)
